
Event[id=1753215803, msg='Default logger message', date=Apr 20, 2018, 3:43:45 PM]
Event[id=2043032199, msg='Default logger message', date=Apr 20, 2018, 3:43:47 PM]
Event[id=-1882682863, msg='Default logger message', date=Apr 20, 2018, 3:43:48 PM]
Event[id=299800451, msg='Default logger message', date=Apr 20, 2018, 3:43:49 PM]
Event[id=1433454909, msg='Default logger message', date=Apr 20, 2018, 3:43:50 PM]
Event[id=480241259, msg='Default logger message', date=Apr 20, 2018, 5:15:35 PM]
Event[id=-1023583771, msg='Default logger message', date=Apr 20, 2018, 5:15:36 PM]
Event[id=651581572, msg='Default logger message', date=Apr 20, 2018, 5:15:37 PM]
Event[id=-697853621, msg='Default logger message', date=Apr 20, 2018, 5:15:38 PM]
Event[id=410482479, msg='Default logger message', date=Apr 20, 2018, 5:15:39 PM]
Event[id=-2116385761, msg='Default logger message', date=Apr 20, 2018, 5:22:08 PM]
Event[id=-1371886092, msg='Default logger message', date=Apr 20, 2018, 5:22:09 PM]
Event[id=1938606816, msg='Default logger message', date=Apr 20, 2018, 5:22:10 PM]
Event[id=-1020126255, msg='Default logger message', date=Apr 20, 2018, 5:22:11 PM]
Event[id=2007728506, msg='Default logger message', date=Apr 20, 2018, 5:22:12 PM]
